Variable,Position,Label,Values,Sublabels,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,Missing Values
FirstYear,1,<none>,1,First year in survey,Nominal,Input,8,Right,F8,F8,NA
MatchSequence,2,Sequential count of matching cases,NA,NA,Scale,Input,15,Right,F7,F7,NA
CaseID,3,CaseID,NA,NA,Scale,Input,12,Right,F6,F6,NA
Year,4,Year,NA,NA,Scale,Input,8,Right,F8,F8,NA
HUC6,5,Sampled HUC6 Watershed Name,NA,NA,Nominal,Input,32,Left,A50,A50,NA
HUC8,6,Sampled HUC8 Watershed Name,NA,NA,Nominal,Input,22,Left,A50,A50,NA
Stratum,7,Sampled Group/Stratum,"11,
12,
13,
21,
22,
23,
31,
32,
41,
42","Iowa HUC6 priority watershed (Middle Cedar),
Iowa HUC6 non-priority watersheds (Lower Iowa only),
Iowa HUC6 non-priority watersheds (all except Lower Iowa),
Missouri Nishnabotna HUC6 non-priority HUC8s (Boyer-Big Papi),
Missouri Nishnabotna HUC6 prioroty HUC8 (Floyd),
Missouri Nishnabotna HUC6 non-priority HUC8s,
Upper Miss. Maquoketa Plum HUC6 priority HUC8 (Turkey),
Upper Miss. Maquoketa Plum HUC6 non priority HUC8,
Des Moines HUC6 Priority HUC8 (North Raccoon/Boone),
Des Moines HUC6 Non-priority HUC8s",Nominal,Input,7,Right,F2,F2,NA
Q1A,8,"In 201X, did you operate a farm (full-time or part-time)?",1,Yes,Nominal,Input,12,Right,F2,F2,NA
Q1,9,"1. Before reading the description above, how knowledgeable were you about the Iowa Nutrient Reduction Strategy?","1,
2,
3,
4,
5","Not at all knowledgeable,
Slightly knowledgeable,
Somewhat knowledgeable,
Knowledgeable,
Very knowledgeable",Nominal,Input,12,Right,F12,F12,9
Q2a,10,2a. Natural Resources Conservation Service (NRCS) or Soil and Water Conservation District,"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2b,11,"2b. Another government agency (e.g., Iowa Dept of Agriculture and Land Stewardship)","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2c,12,2c. Iowa State University Extension and Outreach,"0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2d,13,"2d. The farm press (magazines, radio, TV programs, websites, that focus on agriculture)","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2e,14,"2e. The popular press (general interest newspapers, TV programs, radio, magazines)","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2f,15,"2f. Commodity or farm organization (e.g., Soybean Assn, Corn Growers, Farm Bureau)","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q2g,16,"2g. Agricultural retailer (e.g., fertilizer, agricultural chemical dealer)","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
